Topic,Count,Name,Representation,Representative_Docs,Representative Documents
17,89,17_committee_meeting_chair_adjourned,"['committee', 'meeting', 'chair', 'adjourned', 'welcome', 'finished', 'sir', 'breaking', 'diversity', 'order']","['welcome diversity committee', 'welcome first meeting diversity committee', 'diversity committee meeting already']","['welcome diversity committee', 'welcome first meeting diversity committee', 'diversity committee meeting already']"
18,88,18_initiative_diversity_new_gone,"['initiative', 'diversity', 'new', 'gone', 'looks', 'far', 'plan', 'happy', 'work', 'trumps']","['part diversity initiative', 'diversity initiative', 'must part diversity initiative']","['part diversity initiative', 'diversity initiative', 'must part diversity initiative']"
19,82,19_different_beat_marching_marches,"['different', 'beat', 'marching', 'marches', 'marched', 'march', 'crawl', 'follow', 'tune', 'cancelled']","['marches beat different', 'marches beat different', 'marching beat different']","['marches beat different', 'marches beat different', 'marching beat different']"
20,81,20_runners_high_marathon_cacti,"['runners', 'high', 'marathon', 'cacti', 'kept', 'water', 'runnerup', 'desert', 'stations', 'know']","['oh runners high', 'know runners high talk', 'runners high']","['oh runners high', 'know runners high talk', 'runners high']"
21,77,21_officer_chief_new_manager,"['officer', 'chief', 'new', 'manager', 'introduce', 'coordinator', 'welcome', 'diversity', 'like', 'welcoming']","['let chief diversity officer go', 'please welcome new chief diversity officer', 'please welcome new chief diversity officer']","['let chief diversity officer go', 'please welcome new chief diversity officer', 'please welcome new chief diversity officer']"
22,76,22_roadrunner_road_coyote_cartoon,"['roadrunner', 'road', 'coyote', 'cartoon', 'house', 'chasing', 'roadrunners', 'cartoons', 'pet', 'catch']","['last time let roadrunner house', 'last thing remember roadrunner coyote', 'roadrunner name']","['last time let roadrunner house', 'last thing remember roadrunner coyote', 'roadrunner name']"
23,70,23_ball_hit_throws_throw,"['ball', 'hit', 'throws', 'throw', 'curveball', 'remember', 'knock', 'curveballs', 'try', 'cap']","['time hit ball', 'hit ball', 'hit ball']","['time hit ball', 'hit ball', 'hit ball']"
24,69,24_company_corporate_companys_firm,"['company', 'corporate', 'companys', 'firm', 'value', 'customers', 'ceo', 'diversity', 'customer', 'product']","['right company diversity problem', 'company really use diversity', 'thought said company diversity']","['right company diversity problem', 'company really use diversity', 'thought said company diversity']"
25,68,25_mask_wearing_feet_apart,"['mask', 'wearing', 'feet', 'apart', 'distance', 'wears', 'distancing', 'social', 'safe', 'away']","['least someone wearing mask', 'least wearing mask', 'well least wearing mask']","['least someone wearing mask', 'least wearing mask', 'well least wearing mask']"
26,66,26_golfers_disc_golf_miniature,"['golfers', 'disc', 'golf', 'miniature', 'mini', 'paradise', 'hole', 'minigolfers', 'putt', 'minigolfer']","['yes golfers', 'golfers let', 'get many golfers']","['yes golfers', 'golfers let', 'get many golfers']"
27,64,27_drummers_band_song_rock,"['drummers', 'band', 'song', 'rock', 'bird', 'super', 'flew', 'ate', 'different', 'thinks']","['hard rock band', 'need find bird band', 'like drummers rock band many finns predecessors met demise early life']","['hard rock band', 'need find bird band', 'like drummers rock band many finns predecessors met demise early life']"
28,64,28_biodiversity_species_oceans_increased,"['biodiversity', 'species', 'oceans', 'increased', 'increase', 'tank', 'complaints', 'company', 'island', 'board']","['another biodiversity hire', 'biodiversity hire', 'biodiversity well']","['another biodiversity hire', 'biodiversity hire', 'biodiversity well']"
29,63,29_trainers_coaches_cross_celebrity,"['trainers', 'coaches', 'cross', 'celebrity', 'workout', 'chef', 'bodybuilding', 'nutritionists', 'look', 'chefs']","['new cross trainers going cost', 'helluva good cross trainers', 'trainers quarantine']","['new cross trainers going cost', 'helluva good cross trainers', 'trainers quarantine']"
30,63,30_hr_human_resources_says,"['hr', 'human', 'resources', 'says', 'talk', 'hrs', 'need', 'workforce', 'diversity', 'revisit']","['hr says diversity problem', 'hr says need diversity', 'hr said need diversity']","['hr says diversity problem', 'hr says need diversity', 'hr said need diversity']"
31,56,31_bob_head_meet_eat,"['bob', 'head', 'meet', 'eat', 'new', 'fred', 'let', 'accounting', 'votes', 'welcome']","['please meet bob new head diversity', 'meet bob new head diversity', 'meet bob bob diversity hire']","['please meet bob new head diversity', 'meet bob new head diversity', 'meet bob bob diversity hire']"
32,56,32_policy_agenda_item_mandate,"['policy', 'agenda', 'item', 'mandate', 'new', 'conservative', 'cycle', 'spin', 'diversity', 'cake']","['new diversity policy', 'new diversity policy', 'must new diversity policy']","['new diversity policy', 'new diversity policy', 'must new diversity policy']"
33,55,33_fish_birds_mermaids_gills,"['fish', 'birds', 'mermaids', 'gills', 'species', 'fishy', 'reptiles', 'goldfish', 'admire', 'dinosaur']","['wanted diversity boardroom got fish charge let us move past get work', 'welcome first lecture diversity series fish water', 'brought fish told needed diversity']","['wanted diversity boardroom got fish charge let us move past get work', 'welcome first lecture diversity series fish water', 'brought fish told needed diversity']"
34,55,34_diversion_diverted_diverticulitis_covid,"['diversion', 'diverted', 'diverticulitis', 'covid', 'flight', 'create', 'divert', 'playing', 'brussels', 'pleasant']","['create diversion mr president', 'going need diversion', 'see diversion']","['create diversion mr president', 'going need diversion', 'see diversion']"
35,48,35_embrace_embracing_friends_accepting,"['embrace', 'embracing', 'friends', 'accepting', 'diversity', 'culture', 'today', 'fit', 'level', 'diversityjust']","['embrace diversity', 'embrace diversity', 'embrace diversity']","['embrace diversity', 'embrace diversity', 'embrace diversity']"
36,47,36_squash_gender_potato_white,"['squash', 'gender', 'potato', 'white', 'head', 'replaced', 'acorn', 'gourds', 'pumpkins', 'pumpkin']","['order diversify board five replaced acorn buttercup butternut hubbard spaghetti squash', 'need gender diversity', 'think need diversity maybe squash two']","['order diversify board five replaced acorn buttercup butternut hubbard spaghetti squash', 'need gender diversity', 'think need diversity maybe squash two']"
37,47,37_extra_innings_ghost_bat,"['extra', 'innings', 'ghost', 'bat', 'hitter', 'inning', 'games', 'use', 'second', 'base']","['get ghost hitter extra innings', 'get extra innings ghost', 'extra innings ghost']","['get ghost hitter extra innings', 'get extra innings ghost', 'extra innings ghost']"
38,47,38_far_thing_taking_gone,"['far', 'thing', 'taking', 'gone', 'think', 'little', 'ridiculous', 'opinion', 'taken', 'bit']","['taking diversity thing bit far', 'think taking diversity little far', 'diversity thing may gone far']","['taking diversity thing bit far', 'think taking diversity little far', 'diversity thing may gone far']"
39,44,39_diverged_wood_trains_took,"['diverged', 'wood', 'trains', 'took', 'yellow', 'roads', 'difference', 'traveled', 'woods', 'train']","['two trains diverged wood took train', 'two trains diverged wood', '2 trains diverged wood']","['two trains diverged wood took train', 'two trains diverged wood', '2 trains diverged wood']"
40,40,40_umpires_referees_uniform_strike,"['umpires', 'referees', 'uniform', 'strike', 'hate', 'unidentified', 'ufr', 'wear', 'zone', 'clothes']","['thought happened umpires', 'umpires strike', 'think umpires side']","['thought happened umpires', 'umpires strike', 'think umpires side']"
41,34,41_meeting_ended_conference_bixby,"['meeting', 'ended', 'conference', 'bixby', 'attending', 'welcome', 'improving', 'thank', 'like', 'guest']","['welcome first workplace diversity meeting', 'diversity meeting let', 'think diversity meeting']","['welcome first workplace diversity meeting', 'diversity meeting let', 'think diversity meeting']"
42,33,42_director_new_introduce_meet,"['director', 'new', 'introduce', 'meet', 'directors', 'let', 'everybody', 'george', 'bob', 'hello']","['get diversity director', 'get diversity director', 'new diversity director']","['get diversity director', 'get diversity director', 'new diversity director']"
43,29,43_runners_ghost_heard_remember,"['runners', 'ghost', 'heard', 'remember', 'book', 'kids', 'kid', 'goes', 'enjoying', 'uses']","['heard ghost runners right', 'know see one best ghost runners', 'heard ghost runners first']","['heard ghost runners right', 'know see one best ghost runners', 'heard ghost runners first']"
44,28,44_neighborhood_diverse_neighbors_suburbs,"['neighborhood', 'diverse', 'neighbors', 'suburbs', 'crime', 'city', 'living', 'love', 'quite', 'actually']","['sure diverse neighborhood', 'neighborhood diverse', 'see neighborhood diverse']","['sure diverse neighborhood', 'neighborhood diverse', 'see neighborhood diverse']"
45,28,45_prickly_prick_bit_new,"['prickly', 'prick', 'bit', 'new', 'point', 'larry', 'little', 'attitude', 'uggg', 'awful']","['seems little prickly', 'new little prickly', 'new little prickly']","['seems little prickly', 'new little prickly', 'new little prickly']"
46,26,46_rule_ghost_ghostrunner_extrainnings,"['rule', 'ghost', 'ghostrunner', 'extrainnings', 'new', 'changed', 'dh', 'taking', 'rules', 'think']","['hate new ghost rule', 'brought back ghost rule', 'new ghost rule something else']","['hate new ghost rule', 'brought back ghost rule', 'new ghost rule something else']"
47,25,47_skydivers_skydiver_parachutes_sky,"['skydivers', 'skydiver', 'parachutes', 'sky', 'returning', 'parachute', 'look', 'plant', 'airballoonist', 'amateur']","['blayne skydivers normally parachutes', 'insurance skydivers without parachutes', 'worry look skydivers']","['blayne skydivers normally parachutes', 'insurance skydivers without parachutes', 'worry look skydivers']"
48,25,48_dog_dogcatcher_vet_dogs,"['dog', 'dogcatcher', 'vet', 'dogs', 'miles', 'vote', 'cat', 'blow', 'cleaner', 'disgrace']","['said would vote dog', 'separate dog dogcatcher monster', 'show dog']","['said would vote dog', 'separate dog dogcatcher monster', 'show dog']"
49,24,49_candidates_candidate_applicants_diverse,"['candidates', 'candidate', 'applicants', 'diverse', 'applicant', 'pool', 'afraid', 'looking', '200', 'shortlisted']","['got diverse pool applicants year', 'well looking diverse candidate', 'narrowed four five candidates diverse applicant pool']","['got diverse pool applicants year', 'well looking diverse candidate', 'narrowed four five candidates diverse applicant pool']"
50,23,50_goal_goals_met_reaching,"['goal', 'goals', 'met', 'reaching', 'step', 'muggle', 'euphorbia', 'sellout', 'pulcherrima', 'kudos']","['think hit diversity goal', 'much meeting diversity goals', 'diversity goal']","['think hit diversity goal', 'much meeting diversity goals', 'diversity goal']"
51,23,51_base_gets_baserunner_second,"['base', 'gets', 'baserunner', 'second', 'fly', 'ghost', 'great', 'drafted', 'coaching', 'ejected']","['great base otherwise see', 'ghost first base', 'first base']","['great base otherwise see', 'ghost first base', 'first base']"
52,21,52_hiring_guidelines_policy_gone,"['hiring', 'guidelines', 'policy', 'gone', 'stereotypes', 'latest', 'program', 'far', 'internalized', 'lattes']","['think diversity equity inclusion hiring gone far', 'diversity hiring policy finally gone far', 'think new diversity hiring policy gone far']","['think diversity equity inclusion hiring gone far', 'diversity hiring policy finally gone far', 'think new diversity hiring policy gone far']"
53,21,53_problem_solved_biggest_think,"['problem', 'solved', 'biggest', 'think', 'hello', 'algorithm', 'bernard', 'multigrain', 'solving', 'gourdian']","['think got diversity problem', 'diversity problem', 'think diversity problem']","['think got diversity problem', 'diversity problem', 'think diversity problem']"
54,20,54_jockeys_desk_vancouver_headless,"['jockeys', 'desk', 'vancouver', 'headless', 'walking', 'island', 'lot', 'alterations', 'gucci', 'gambling']","['pity desk jockeys', 'wear jockeys', 'go lot jockeys lot jockeys go']","['pity desk jockeys', 'wear jockeys', 'go lot jockeys lot jockeys go']"
