Topic,Count,Name,Representation,Representative_Docs,Representative Documents
-1,1475,-1_diversity_diverse_new_think,"['diversity', 'diverse', 'new', 'think', 'need', 'catchers', 'hire', 'good', 'like', 'players']","['boss says need work diversity hiring', 'corporate today work maze together part team building diversity equity inclusion bring boss work program', 'call diversity']","['boss says need work diversity hiring', 'corporate today work maze together part team building diversity equity inclusion bring boss work program', 'call diversity']"
0,234,0_diversify_portfolio_diversifying_diversified,"['diversify', 'portfolio', 'diversifying', 'diversified', 'diversification', 'stocks', 'business', 'looking', 'need', 'risk']","['think diversify', 'need diversify', 'diversify portfolio']","['think diversify', 'need diversify', 'diversify portfolio']"
1,196,1_diver_divers_sea_astronaut,"['diver', 'divers', 'sea', 'astronaut', 'deep', 'scuba', 'designated', 'dumpster', 'backseat', 'bar']","['hear one deep sea diver astronaut', 'deep sea diver astronaut walk bar', 'heard one astronaut deep sea diver']","['hear one deep sea diver astronaut', 'deep sea diver astronaut walk bar', 'heard one astronaut deep sea diver']"
2,186,2_pitchers_pitch_batter_mound,"['pitchers', 'pitch', 'batter', 'mound', 'hitter', 'right', 'hit', 'clock', 'era', 'bat']","['pitchers get read', 'pitchers see right', 'pitchers fire fire']","['pitchers get read', 'pitchers see right', 'pitchers fire fire']"
3,177,3_board_boardroom_directors_add,"['board', 'boardroom', 'directors', 'add', 'jack', 'member', 'shareholders', 'diverse', 'diversity', 'room']","['finally diversity board', 'part new board diversity initiative', 'need diversify board']","['finally diversity board', 'part new board diversity initiative', 'need diversify board']"
4,158,4_look_eye_said_sure,"['look', 'eye', 'said', 'sure', 'good', 'make', 'think', 'wanted', 'thought', 'like']","['really look like going need', 'could look like', 'look like']","['really look like going need', 'could look like', 'look like']"
5,153,5_training_session_diversity_leading,"['training', 'session', 'diversity', 'leading', 'class', 'welcome', 'workshop', 'hr', 'cancel', 'sensitivity']","['diversity training', 'diversity training', 'diversity training']","['diversity training', 'diversity training', 'diversity training']"
6,142,6_hire_hires_hiring_diversity,"['hire', 'hires', 'hiring', 'diversity', 'getting', 'believe', 'tells', 'practices', 'assure', 'ambidexterian']","['diversity hire', 'diversity hire', 'diversity hire']","['diversity hire', 'diversity hire', 'diversity hire']"
7,135,7_inclusion_equity_diversity_thank,"['inclusion', 'equity', 'diversity', 'thank', 'inclusive', 'club', 'seriously', 'new', 'initiative', 'programs']","['part new diversity equity inclusion program', 'well diversity equity inclusion', 'diversity equity inclusion']","['part new diversity equity inclusion program', 'well diversity equity inclusion', 'diversity equity inclusion']"
8,132,8_swimmers_castle_guard_protect,"['swimmers', 'castle', 'guard', 'protect', 'watch', 'save', 'defend', 'rescue', 'care', 'drowning']","['get swimmers protect castle', 'protect swimmers guard castle', 'watch swimmers guard castle']","['get swimmers protect castle', 'protect swimmers guard castle', 'watch swimmers guard castle']"
9,123,9_skiers_heaven_downhill_gate,"['skiers', 'heaven', 'downhill', 'gate', 'gates', 'line', 'hell', 'god', 'slalom', 'snowboarders']","['3 please take step back downhill skiers right way', 'also let skiers heaven', 'skiers always think heaven']","['3 please take step back downhill skiers right way', 'also let skiers heaven', 'skiers always think heaven']"
10,123,10_ghost_best_second_signed,"['ghost', 'best', 'second', 'signed', 'league', 'career', 'brought', 'started', 'hit', '10th']","['first ghost', 'call ghost', 'must ghost']","['first ghost', 'call ghost', 'must ghost']"
11,121,11_workplace_workforce_work_management,"['workplace', 'workforce', 'work', 'management', 'diverse', 'increasing', 'diversity', 'committed', 'talk', 'employee']","['need diversity workplace', 'diversity workplace', 'workplace diversity']","['need diversity workplace', 'diversity workplace', 'workplace diversity']"
12,120,12_need_diversity_good_diverse,"['need', 'diversity', 'good', 'diverse', 'sorry', 'wanted', 'choices', 'group', 'effort', 'confusing']","['need diversity', 'need diversity', 'need diversity']","['need diversity', 'need diversity', 'need diversity']"
13,105,13_hire_new_meet_welcome,"['hire', 'new', 'meet', 'welcome', 'diversity', 'hired', 'introduce', 'like', 'hiring', 'hello']","['new diversity hire', 'new diversity hire', 'new diversity hire']","['new diversity hire', 'new diversity hire', 'new diversity hire']"
14,99,14_water_margaritas_lemonade_ordered,"['water', 'margaritas', 'lemonade', 'ordered', 'asked', 'ice', 'honey', 'beer', 'sugar', 'glass']","['asked meant water meeting', 'ordered of water', 'asked water']","['asked meant water meeting', 'ordered of water', 'asked water']"
15,95,15_athletes_foot_hoof_olympic,"['athletes', 'foot', 'hoof', 'olympic', 'college', 'admissions', 'worried', 'steroids', 'cure', 'sorry']","['athletes hoof', 'worried getting athletes foot', 'clear athletes foot']","['athletes hoof', 'worried getting athletes foot', 'clear athletes foot']"
16,90,16_program_diversity_success_greenstein,"['program', 'diversity', 'success', 'greenstein', 'working', 'new', 'sensitivity', 'outreach', 'hand', 'grant']","['part diversity program', 'part diversity program', 'diversity program']","['part diversity program', 'part diversity program', 'diversity program']"
