Topic,Count,Name,Representation,Representative_Docs
-1,33105,-1_don_he_to_the,"['don', 'he', 'to', 'the', 'you', 'it', 'we', 'his', 'is', 'him']","[""if there is a boy in there, you'll have to take him back to his room."", ""i'll tell him you're here, but he won't like that you're out of uniform."", ""what do you think he knows that we don't?""]"
0,1803,0_him_he_tell him_think he,"['him', 'he', 'tell him', 'think he', 'he ll', 'tell', 'him he', 'll', 'back', 'us']","[""i know, i know. i just don't have the heart to tell him."", 'do you think we should tell him?', ""i don't have the heart to tell him he's an idiot.""]"
1,965,1_pie_apple_adam_eve,"['pie', 'apple', 'adam', 'eve', 'apple pie', 'apples', 'fruit', 'didn say', 'anything about', 'god']","[""it's adam's apple pie!"", ""well, he didn't say anything about apple pie!"", ""well, he didn't say anything about apple pie!""]"
2,926,2_king_the king_majesty_royal,"['king', 'the king', 'majesty', 'royal', 'throne', 'king of', 'his majesty', 'king is', 'be king', 'being king']","['is it really good to be the king?', ""is that when you say 'the king is dead, long live the king!'?"", '“it’s good to be the king”!']"
3,841,3_don worry_worry_don_don know,"['don worry', 'worry', 'don', 'don know', 'know', 'you don', 'feel', 'you', 'it don', 'here']","[""you don't want to know."", ""you don't want to know."", ""i don't know.""]"
4,838,4_reinventing_himself_invented_reinvent,"['reinventing', 'himself', 'invented', 'reinvent', 'inventor', 'he', 'invention', 'reinvent himself', 'to reinvent', 'invent']","[""he's working on reinventing himself."", ""next he says he's going to re-invent himself."", ""... and now he says he's going to reinvent himself.""]"
5,722,5_dad_father_your father_your dad,"['dad', 'father', 'your father', 'your dad', 'my dad', 'your', 'my father', 'my', 'dad is', 'father and']","['i am your father!', '... i am your father!', ""i'll get your dad.""]"
6,685,6_penalty_death_death penalty_the death,"['penalty', 'death', 'death penalty', 'the death', 'reaper', 'jury', 'mr reaper', 'the jury', 'judge', 'the judge']","[""i take it you don't care about the death penalty."", ""at least you don't have to worry about the death penalty."", ""don't worry about the death penalty""]"
7,670,7_donald_trump_him donald_donald trump,"['donald', 'trump', 'him donald', 'donald trump', 'name', 'the donald', 'named him', 'named', 'name him', 'him trump']","[""we shouldn't have named him donald"", 'i named him ... donald.', 'donald?']"
8,660,8_cave_man cave_man_his man,"['cave', 'man cave', 'man', 'his man', 'cave he', 'caveman', 'the cave', 'cave man', 'his cave', 'hole']","[""he's in his man cave."", 'man. cave. man cave.', 'man cave']"
9,620,9_voted_voted for_vote_for trump,"['voted', 'voted for', 'vote', 'for trump', 'for him', 'vote for', 'voting', 'voting for', 'for', 'you voted']","['you voted for him.', 'you voted for him.', 'you voted for him.']"
10,606,10_cat_the cat_cats_leg,"['cat', 'the cat', 'cats', 'leg', 'cat he', 'that cat', 'his leg', 'scratching post', 'scratching', 'catnip']","[""it's symbiosis. he likes the cat, the cat likes the scratching post."", 'i guess the cat got his tongue.', ""i think the cat's got his tongue.""]"
11,519,11_doctor_results_fraternity_mr,"['doctor', 'results', 'fraternity', 'mr', 'phelps', 'test', 'test results', 'the doctor', 'mr phelps', 'your']","[""the doctor's an old fraternity brother of mine."", 'turns out the doctor is an old fraternity brother.', 'turns out the doctor is an old fraternity brother.']"
12,507,12_dinner_for dinner_sir will_dinner sir,"['dinner', 'for dinner', 'sir will', 'dinner sir', 'sir', 'will', 'tonight', 'guest', 'be', 'shall']","['sir, will you be two for dinner?', 'sir, will he be joining us for dinner?', 'two for dinner, sir?']"
13,474,13_insurance_health_obamacare_care,"['insurance', 'health', 'obamacare', 'care', 'plan', 'healthcare', 'life insurance', 'health care', 'obama care', 'coverage']","[""wait, you don't have life insurance?"", ""sorry- i don't have insurance."", ""and we *still* don't have health insurance.""]"
