Topic,Count,Name,Representation,Representative_Docs
14,451,14_damocles_sword_the sword_pen,"['damocles', 'sword', 'the sword', 'pen', 'his sword', 'sire', 'king', 'says', 'mightier', 'it from']","['... and damocles wants his sword back.', 'damocles called. he wants his sword back.', ""it's from damocles. he wants his sword back.""]"
15,441,15_yoga_mat_rug_carpet,"['yoga', 'mat', 'rug', 'carpet', 'magic', 'magic carpet', 'yoga mat', 'don care', 'class', 'care']","[""i don't care if it is a republican prayer rug. get a yoga mat."", ""i don't care what they say about a guy with a big yoga mat."", ""i don't care if it really ties the room together, you need a yoga mat.""]"
16,424,16_whale_whale of_white whale_white,"['whale', 'whale of', 'white whale', 'white', 'whales', 'the whale', 'cat', 'whale he', 'of time', 'great white']","[""don't worry. it's a whale of a deal."", 'he said it was a whale of a deal...!', ""forget the white whale he's got the white cat""]"
17,418,17_sir_arrived_brain_amazon,"['sir', 'arrived', 'brain', 'amazon', 'brains', 'sir the', 'parts', 'the brain', 'has arrived', 'sir sir']","['sir, the spare parts that you ordered from amazon have arrived.', 'the brains you ordered from amazon have arrived sir.', 'sir, the brain you ordered from amazon has arrived.']"
18,407,18_size_bigger_matter_doesn matter,"['size', 'bigger', 'matter', 'doesn matter', 'size doesn', 'bigger than', 'is bigger', 'matters', 'the size', 'big']","[""i told you, my son, size doesn't matter"", ""don't worry. size doesn't matter."", ""see son size doesn't matter.""]"
19,401,19_wall_the wall_build_build wall,"['wall', 'the wall', 'build', 'build wall', 'trump wall', 'to build', 'wall he', 'his wall', 'built', 'pay for']","[""he says he's going to build a wall."", 'build the wall, mr. trump! build the wall!', ""trump's wall""]"
20,398,20_bird_birds_the bird_pigeons,"['bird', 'birds', 'the bird', 'pigeons', 'birdie', 'the birds', 'bird brain', 'birdseed', 'bird he', 'birds don']","[""he's the bird in the hand, right?"", 'told you it was him - the bird in the hand.', 'bird man??']"
21,381,21_stocks_stock_in stocks_stocks he,"['stocks', 'stock', 'in stocks', 'stocks he', 'into stocks', 'his stocks', 'broker', 'market', 'into', 'the stocks']","[""he's in the stocks for the stocks....."", 'he said he always wanted to be in stocks.', ""he's in stocks.""]"
22,371,22_hitchcock_mr hitchcock_alfred_alfred hitchcock,"['hitchcock', 'mr hitchcock', 'alfred', 'alfred hitchcock', 'movie', 'hitchcock movie', 'mr', 'film', 'hitchcock fan', 'reading']","['alfred hitchcock....is that you?', 'is that you, mr. hitchcock?', 'mr. hitchcock?']"
23,356,23_plant_he plant_potted_potted plant,"['plant', 'he plant', 'potted', 'potted plant', 'plant he', 'careful', 'careful what', 'be plant', 'plant manager', 'plant from']","[""careful what you say, he's a plant."", ""i think he's a plant."", ""i think he's a plant.""]"
24,350,24_rock_rock and_roll_rock faster,"['rock', 'rock and', 'roll', 'rock faster', 'faster', 'and roll', 'they re', 'on us', 'gaining', 're gaining']","[""they're gaining on us! rock and roll!"", 'rock.', 'rock!']"
25,344,25_pizza_paparazzi_pizzarazzi_pepperoni,"['pizza', 'paparazzi', 'pizzarazzi', 'pepperoni', 'the pizza', 'paparazzi pizza', 'the pizzarazzi', 'the paparazzi', 'ordered', 'look now']","[""i hope you don't mind, i ordered the paparazzi pizza."", 'did you tell the waiter pepperoni pizza, or paparazzi pizza?', ""don't look now, but it's the pizza paparazzi.""]"
26,324,26_boss_the boss_fired_re fired,"['boss', 'the boss', 'fired', 're fired', 'my boss', 'well done', 'boss said', 'done', 'hr', 'job']","['my boss says he likes my work well-done.', 'the boss said he wanted the work done well.', 'my boss said he likes my work well done.']"
27,315,27_shoes_boots_those_his shoes,"['shoes', 'boots', 'those', 'his shoes', 'hiking', 'hiking boots', 'boots he', 'feet', 'those shoes', 'shoe']","['where did he say he got those new hiking shoes?', 'i want to know where he bought those hiking boots.', ""i think it's his new hiking boots""]"
28,312,28_sandbox_sand_the sandbox_desert,"['sandbox', 'sand', 'the sandbox', 'desert', 'the sand', 'sandbox he', 'play', 'the desert', 'play in', 'sandman']","['when do we get to play in the sandbox dad?', 'he needs to think outside the sandbox!', 'his boss told him to play in the sandbox.']"
29,308,29_gravity_the gravity_gravity of_situation,"['gravity', 'the gravity', 'gravity of', 'situation', 'the situation', 'gravity is', 'situation he', 'of gravity', 'of the', 'einstein']","[""i really think he doesn't understand the gravity of the situation."", ""i told you! he doesn't understand the gravity of the situation"", ""i think he doesn't understand the gravity of the situation.""]"
30,302,30_peter_peter pan_pan_hoop,"['peter', 'peter pan', 'pan', 'hoop', 'hula', 'francis', 'st', 'hula hoop', 'spider', 'st peter']","[""that's peter pan doing his famous peter pan dive. yargh."", 'i invented the ""hula-hoop"", st. peter thought this would be funny!', 'peter pan. come in peter pan.']"
31,299,31_wake_sleep_bed_nap,"['wake', 'sleep', 'bed', 'nap', 'wake him', 'wake me', 'up', 'don wake', 'asleep', 'sleeping']","[""don't wake me up. don't wake me up."", ""just don't wake him up!"", ""don't wake him up!""]"
32,296,32_wave_trump wave_waves_trump,"['wave', 'trump wave', 'waves', 'trump', 'tsunami', 'the wave', 'tide', 'donald', 'the trump', 'tidal']","['oh no! the trump wave!', 'we call it the ""donald trump wave.""', ""that wave has a wave like donald's wave!""]"
33,294,33_mouse_mice_rat_the mice,"['mouse', 'mice', 'rat', 'the mice', 'the mouse', 'mousetrap', 'the rat', 'rats', 'not mouse', 'better mousetrap']","['man. not mouse! man.', 'our king of the mouse', ""i'm a man, not a mouse.""]"
34,290,34_speed_you were_were going_the speed,"['speed', 'you were', 'were going', 'the speed', 'limit', 'were', 'speed limit', 'mph', 'fast', 'sir']","['sir, do you realize you were going three miles over the speed limit?', 'sir, do you know how fast you were going?', 'sir, do you know how fast you were going?']"
35,289,35_last man_on earth_earth_man on,"['last man', 'on earth', 'earth', 'man on', 'the last', 'last', 'man', 'am the', 'were the', 'am']","[""now that i'm the last man on earth..."", 'i am the last man on earth.', 'i am the last man on earth.']"
36,287,36_printer_carl_3d_3d printer,"['printer', 'carl', '3d', '3d printer', 'the 3d', 'copier', 'clones', 'the copier', 'the clones', 'printer again']","[""harold's been messing with the 3d printer again."", ""looks like he's been playing with the new 3d printer again!"", ""walter's at the 3d printer again.""]"
37,286,37_tweet_twitter_tweeting_tweets,"['tweet', 'twitter', 'tweeting', 'tweets', 'to tweet', 'tweeted', 'his tweets', 'his twitter', 'tweet he', 'on twitter']","[""this is why i don't tweet."", ""that's why i don't tweet."", ""that's why i don't tweet.""]"
38,283,38_lawyers_lawyer_legal_case,"['lawyers', 'lawyer', 'legal', 'case', 'of lawyers', 'army', 'army of', 'an army', 'sue', 'the lawyers']","['he did say an army of lawyers, right?', 'yeah, an ""army of lawyers"". well, wait til he sees our army of lawyers!', '""you\'ll need an army of lawyers"", he said.']"
39,282,39_men_man_male_man again,"['men', 'man', 'male', 'man again', 'all men', 'gender', 'manspreading', 'man spreading', 'spreading', 'no said']","[""they're right! all men are alike."", ""men? they're all the same."", 'not all men']"
40,274,40_fish_tuna_fish out_of water,"['fish', 'tuna', 'fish out', 'of water', 'fishing', 'fishes', 'the fish', 'the fishes', 'fish and', 'flying fish']","[""don't you look like a fish out of water."", ""don't you feel like a fish out of water?"", ""don't you feel like a fish out of water?""]"
41,269,41_chairman_the chairman_chairman of_board,"['chairman', 'the chairman', 'chairman of', 'board', 'the board', 'as chairman', 'new chairman', 'of the', 'as', 'mr chairman']","[""oh, him? he's the chairman of the board."", ""i'm not the chairman of the board, i'm chairman of the chairs."", ""i'm here to see the chairman of the board.""]"
42,264,42_frank_stein_frank you_be frank,"['frank', 'stein', 'frank you', 'be frank', 'gehry', 'frank stein', 'frank is', 'frank gehry', 'frank frank', 'frank has']","['let me be frank.', 'frank! is that you?', 'may i be frank?']"
43,259,43_sweater_moses_god_thou,"['sweater', 'moses', 'god', 'thou', 'commandments', 'cold', 'thou shalt', 'shalt', 'commandment', 'the sweater']","["". . . and don't forget to wear your sweater!"", ""don't forget your sweater."", ""don't forget your sweater.""]"
44,259,44_shovel_snow_the shovel_son,"['shovel', 'snow', 'the shovel', 'son', 'size of', 'the size', 'size', 'your shovel', 'and shovel', 'shovels']","[""remember, son, it's not the size of the shovel that counts, but the size of the man with the shovel."", ""it's not the size of the shovel in the snow, it's the size of the man with the shovel."", ""it's not the size of the shovel, son.""]"
45,259,45_bathroom_the bathroom_toilet_the toilet,"['bathroom', 'the bathroom', 'toilet', 'the toilet', 'washer', 'bathroom he', 'wash', 'restroom', 'seat', 'plumbing']","[""he's looking for the bathroom."", 'sir, he has to go to the bathroom.', 'he says he needs to go to the bathroom.']"
46,255,46_george_george you_st george_george is,"['george', 'george you', 'st george', 'george is', 'st', 'saint', 'curious', 'saint george', 'george george', 'curious george']","[""i knew saint george. you're no saint george."", 'st. george, by george', 'george. saint george.']"
47,253,47_donut_doughnut_donuts_bagel,"['donut', 'doughnut', 'donuts', 'bagel', 'the doughnut', 'the donut', 'donut he', 'doughnut he', 'bagels', 'donut hole']","[""he's reinventing the doughnut."", 'he says he is reinventing the donut.', ""no, he's reinventing the donut.""]"
48,253,48_rent_house_housing_housebroken,"['rent', 'house', 'housing', 'housebroken', 'rent controlled', 'afford', 'controlled', 'the rent', 'it rent', 'apartment']","[""he'll never leave, it's rent controlled."", ""he'll never leave, it's rent controlled."", ""i don't know how he can afford the rent.""]"
49,248,49_cartoon_new yorker_yorker_caption,"['cartoon', 'new yorker', 'yorker', 'caption', 'new', 'cartoons', 'york', 'new york', 'the new', 'caption contest']","[""he's in training for the new yorker cartoons."", 'he called me a cartoon. a new yorker cartoon!', ""he's practicing for a new yorker cartoon.""]"
50,248,50_beer_wine_drink_martini,"['beer', 'wine', 'drink', 'martini', 'drinking', 'of wine', 'drinks', 'vodka', 'sir', 'alcohol']","[""don't worry it's lite beer."", ""i don't always drink beer, but when i do..."", ""i don't always drink beer, but when i do, i drink dos.""]"
51,247,51_elephant_elephant in_the elephant_the room,"['elephant', 'elephant in', 'the elephant', 'the room', 'room', 'an elephant', 'in the', 'elephants', 'donkey', 'talk about']","[""don't you hate when the elephant in the room is an elephant in the room?"", ""don't you see the elephant in the room?"", ""i know you don't want to talk about it, but i think the elephant in the room is the elephant in the room.""]"
52,247,52_mob_villagers_sir_angry,"['mob', 'villagers', 'sir', 'angry', 'you sir', 'angry mob', 'door', 'the door', 'see you', 'pitchforks']","['there is an angry mob to see you sir.', 'an angry mob is here to see you, sir.', 'an angry mob to see you, sir.']"
53,245,53_god_god is_god to_godot,"['god', 'god is', 'god to', 'godot', 'is god', 'of god', 'sign', 'prayed', 'waiting', 'me']","['if god is god he is not good; if god is good he is not god. take the even; take the odd. i would not sleep here if i could, but for the little green leaves in the wood and the wind on the water.', 'there is a god.', 'there is a god.']"
54,236,54_brother_your brother_my brother_your,"['brother', 'your brother', 'my brother', 'your', 'brother is', 'big brother', 'dopple', 'dopple dopple', 'brother in', 'brothers']","[""where's your brother?"", 'i thought he was ""your"" brother.', 'i thought he was ""your"" brother.']"
55,235,55_give him_10_give_execution,"['give him', '10', 'give', 'execution', 'ten', '10 for', 'll give', 'him 10', 'perfect 10', 'for execution']","[""i'll give him 10! 9,8,7,6...."", ""i'll give him a 10 for execution."", ""i'll give him a 10 for execution.""]"
56,235,56_ready_running mate_mr trump_candidate,"['ready', 'running mate', 'mr trump', 'candidate', 'mate', 'sir', 'be ready', 'running', 'to know', 'rnc']","['excuse me, sir, but mr. trump would like to know when his running mate will be ready.', 'mr. trump wants to know when his running mate will be ready.', 'mr. trump would like to know when his running mate will be ready.']"
57,231,57_art_sculpture_performance art_sculptor,"['art', 'sculpture', 'performance art', 'sculptor', 'performance', 'statue', 'derivative', 'painting', 'artist', 'michelangelo']","[""i don't get performance art."", ""he says it's performance art."", ""performance art... i just don't get it!""]"
58,230,58_chair_chairs_the chair_chair man,"['chair', 'chairs', 'the chair', 'chair man', 'seat', 'musical', 'musical chairs', 'seats', 'bored', 'man']","[""i'm bored of the chair man."", ""as you can see, i'm the chair man."", ""i'm the chair man of the board.""]"
59,228,59_dog_the dog_pet_dog he,"['dog', 'the dog', 'pet', 'dog he', 'dogs', 'downward', 'getting dog', 'pets', 'facing dog', 'my dog']","[""he's been like this since the dog died."", ""dad, where's the dog?"", ""and as soon as we domesticate the dog, he'll be in the dog house.""]"
60,227,60_dress_fashion_clothes_wearing,"['dress', 'fashion', 'clothes', 'wearing', 'wear', 'suit', 'dress for', 'dress code', 'to dress', 'code']","['dress for the job you want thomas...', 'he said to dress for the job you want, not the job you have.', ""don't dress for the job you have--dress for the job you want.""]"
61,226,61_the wheel_wheel_reinventing the_wheel he,"['the wheel', 'wheel', 'reinventing the', 'wheel he', 'reinventing', 'reinvent the', 'reinvent', 'to reinvent', 'trying to', 'trying']","[""he's always trying to reinvent the wheel."", ""he's reinventing the wheel."", ""he's trying to reinvent the wheel.""]"
62,226,62_feast_fancy feast_lunch_fancy,"['feast', 'fancy feast', 'lunch', 'fancy', 'feed', 'food', 'feed him', 'fridge', 'to feed', 'lunches']","['the fancy feast is going to his head.', 'i think the fancy feast has gone to his head.', 'i think the fancy feast has gone to his head.']"
63,221,63_litter_litter box_box_the litter,"['litter', 'litter box', 'box', 'the litter', 'his litter', 'kitty litter', 'whiskers', 'clean', 'kitty', 'mr whiskers']","[""so that's his litter box."", ""should we tell him that's the litter box?"", 'you tell him to use the litter box.']"
64,219,64_clown_clowns_circus_the circus,"['clown', 'clowns', 'circus', 'the circus', 'sam', 'serve', 'don serve', 'serve clowns', 'we don', 'sorry']","[""sorry we don't serve clowns here."", ""we don't serve clowns."", ""sorry, we don't serve clowns.""]"
65,214,65_ball_beach ball_beach_balls,"['ball', 'beach ball', 'beach', 'balls', 'ball is', 'his beach', 'bigger', 'his ball', 'trump beach', 'ball it']","['i told you his beach ball was bigger!', ""trump's beach ball is huge!"", 'trump beach ball.']"
66,214,66_henry_viii_henry viii_henry the,"['henry', 'viii', 'henry viii', 'henry the', 'king henry', 'henry is', 'him henry', 'henry you', 'eighth', 'henry henry']","[""never should have named him 'henry the 8th'."", ""we should never have named him 'henry viii'."", 'henry....the eighth.']"
67,208,67_cruise_cruise ship_ship_on cruise,"['cruise', 'cruise ship', 'ship', 'on cruise', 'the cruise', 'cruise line', 'tom cruise', 'cruise control', 'meeting', 'meeting on']","['all right. meeting on a cruise ship was a bad idea.', 'who thought it was a good idea to have the board meeting on a cruise ship?', ""who's idea was it to have this meeting on a cruise ship?""]"
68,208,68_water_water he_the water_water him,"['water', 'water he', 'the water', 'water him', 'him water', 'to water', 'of water', 'wet', 'some water', 'bottled water']","['he keeps saying: ""bottled water! bottled water!""', ""if we give him water he'll never leave."", 'should we give him some water?']"
69,206,69_accounting_tax_taxes_accountants,"['accounting', 'tax', 'taxes', 'accountants', 'irs', 'accountant', 'tax returns', 'from accounting', 'the irs', 'returns']","[""let's see if he refuses to release his tax returns now."", 'i guess we will never see his tax returns.', ""tax returns! tax returns! don't you have anything else to say?!""]"
70,204,70_rain_storm_weather_the rain,"['rain', 'storm', 'weather', 'the rain', 'cloud', 'parade', 'the weather', 'rains', 'forecast', 'it rains']","[""i really don't want to rain on his parade."", ""stop singing 'don't rain on my parade'!"", 'the rain of donald trump.']"
71,204,71_coffee_the coffee_of coffee_cup,"['coffee', 'the coffee', 'of coffee', 'cup', 'starbucks', 'coffee he', 'his coffee', 'pot', 'latte', 'coffee and']","['he already made the coffee cup.', ""just don't ask him for a cup of coffee . . . ."", 'he forgot the coffee.']"
72,203,72_boat_ashore_michael_the boat,"['boat', 'ashore', 'michael', 'the boat', 'row', 'boat ashore', 'your boat', 'rowing', 'rowed', 'ashore michael']","['michael, row your boat ashore already!', 'michael row the boat ashore, hallelujah', 'michael, you rowed the boat ashore!']"
73,202,73_harold_fred_harold is_harold it,"['harold', 'fred', 'harold is', 'harold it', 'harold you', 'harold harold', 'harold has', 'it harold', 'like harold', 'fred is']","['harold is always re-inventing things.', 'harold is always reinventing something.', 'harold, it’s for you.']"
74,198,74_paleo_diet_paleo diet_the paleo,"['paleo', 'diet', 'paleo diet', 'the paleo', 'his paleo', 'diet he', 'this paleo', 'started', 'lifestyle', 'paleo he']","['i warned him about the paleo diet.', ""he's on the paleo diet, you know."", ""he's on the paleo diet.""]"
75,196,75_home_job_from home_work,"['home', 'job', 'from home', 'work', 'work from', 'working from', 'from', 'this job', 'working', 'work home']","['he asked to work from home.', 'he decided to work from home.', 'he always wanted to work from home.']"
76,192,76_jump_flying_leap_fly,"['jump', 'flying', 'leap', 'fly', 'seat of', 'the seat', 'his pants', 'flying by', 'giant leap', 'pants']","[""that''s one small step for man, one giant leap...."", 'always flying by the seat of his pants!', 'flying by the seat of his pants.']"
77,192,77_son_kids_our son_baby,"['son', 'kids', 'our son', 'baby', 'son of', 'crib', 'your son', 'the kids', 'children', 'our']","['son of a gun!', ""yes, he's a son of a bitch , but he's our son of a bitch."", 'son of a...']"
78,184,78_waiter_our waiter_the waiter_celebrity,"['waiter', 'our waiter', 'the waiter', 'celebrity', 'celebrity waiter', 'waiter is', 'our', 'waiter was', 'waiter in', 'think our']","['our waiter is such a star!', 'celebrity waiter.', 'waiter!!']"
79,182,79_hands_small_small hands_his hands,"['hands', 'small', 'small hands', 'his hands', 'tiny', 'tiny hands', 'hands are', 'have small', 'hands don', 'my hands']","['he has small hands.', 'he really does have small hands.', 'he does have small hands.']"
80,181,80_pool_the pool_pool he_pool party,"['pool', 'the pool', 'pool he', 'pool party', 'ball', 'kiddie pool', 'pool is', 'kiddie', 'his pool', 'high risk']","[""he says he's looking for the pool"", ""donald's in the pool"", ""trump's in the pool""]"
81,177,81_son_boys_boy_the boys,"['son', 'boys', 'boy', 'the boys', 'son you', 'someday', 'be yours', 'son this', 'it boy', 'your back']","['someday son. this will all be yours.', 'someday son, this will all be yours.', 'someday, son, this will be yours.']"
82,172,82_look down_stand_don look_down,"['look down', 'stand', 'don look', 'down', 'stand there', 'just stand', 'look', 'don just', 'the stand', 'down don']","[""don't look down!"", ""don't look down!"", ""don't look down.""]"
83,171,83_wheel_invented the_the wheel_invented,"['wheel', 'invented the', 'the wheel', 'invented', 'wheel he', 'he invented', 'wheels', 'axle', 'big wheel', 're invented']","['he thinks he just invented the wheel.', ""he thinks he's invented the wheel."", ""you'd think he invented the wheel""]"
84,168,84_hair_his hair_trump hair_wig,"['hair', 'his hair', 'trump hair', 'wig', 'comb', 'haircut', 'barber', 'comb over', 'trump', 'my hair']","['yes, but look at the trump hair.', 'i still like his hair.', ""he's like donald trump's hair.""]"
85,167,85_fire_invented fire_invented_fire last,"['fire', 'invented fire', 'invented', 'fire last', 'last week', 'discovered fire', 'week he', 'fire he', 'week', 'discovered']","['last week he thought he invented fire...', ""he 'invented fire' last week."", 'last week he invented fire!']"
86,165,86_steak_steaks_trump steaks_beef,"['steak', 'steaks', 'trump steaks', 'beef', 'cooking', 'cook', 'trump steak', 'grill', 'case', 'grilling']","['trump steaks for dinner?', 'i told you not to get trump steaks.', 'trump steaks again?']"
87,165,87_reply_reply all_email_hit reply,"['reply', 'reply all', 'email', 'hit reply', 'all', 'server', 'all he', 'hit', 'he hit', 'emails']","['i hear he hit reply all.', 'he hit ""reply all"".', 'he hit ""reply all"".']"
88,164,88_gluten_gluten free_free_it gluten,"['gluten', 'gluten free', 'free', 'it gluten', 'free don', 'gluten don', 'the gluten', 'eat', 'eat gluten', 'do gluten']","[""don't worry - it's gluten free."", ""don't worry, it's gluten-free."", ""don't worry: it's gluten free.""]"
89,164,89_splash_big splash_make splash_make big,"['splash', 'big splash', 'make splash', 'make big', 'to make', 'make', 'splash he', 'presentation', 'big', 'splash at']","['he always wanted to make a big splash.', 'he wanted to make a big splash.', ""he's trying to make a big splash.""]"
90,160,90_global warming_global_warming_climate,"['global warming', 'global', 'warming', 'climate', 'climate change', 'change', 'believe in', 'in global', 'hoax', 'change is']","[""i don't believe in global warming either."", ""still don't believe in global warming?"", ""i don't believe in global warming.""]"
91,160,91_banana_peel_bananas_banana peel,"['banana', 'peel', 'bananas', 'banana peel', 'the banana', 'peeling', 'mr banana', 'split', 'mr', 'going bananas']","[""i don't know how to make a 'banana-peel daiquiri'"", 'does he see that banana peel?', 'it’s just an ugly stereotype doc. i mean how would you feel “look out it’s a banana peel”, or “don’t get near the banana peel”, “oh, here comes the big scary banana peel!""... nice legs by the way.']"
92,159,92_tail_tail light_light_light is,"['tail', 'tail light', 'light', 'light is', 'out sir', 'is out', 'lights', 'your left', 'you aware', 'aware']","['sir, are you aware your left tail light is out?', 'sir, are you aware your left tail light is out?', 'sir, are you aware that your tail light is out?']"
93,158,93_frankenstein_monster_dr frankenstein_the monster,"['frankenstein', 'monster', 'dr frankenstein', 'the monster', 'dr', 'sir', 'butler', 'mr frankenstein', 'your monster', 'frankenstein sir']","[""actually, you're frankenstein. he's frankenstein's monster."", 'dr. frankenstein and his monster to see you, sir.', ""not frankenstein, sir -- frankenstein's butler.""]"
94,154,94_walk_walk him_to walk_your turn,"['walk', 'walk him', 'to walk', 'your turn', 'turn to', 'turn', 'it your', 'for walk', 'him', 'walked him']","[""it's your turn to walk him."", ""it's your turn to walk him."", ""it's your turn to walk him.""]"
95,154,95_electric_the electric_sir_electric bill,"['electric', 'the electric', 'sir', 'electric bill', 'company', 'electric company', 'solar', 'bill', 'meter', 'power']","['there is a gentleman from the electric company at the front door.', ""there's a man from the electric company at the door for you."", 'beg your pardon, sir, but the gentleman from the electric company is here to read the meter.']"
96,153,96_music_sing_dylan_the music,"['music', 'sing', 'dylan', 'the music', 'singing', 'song', 'whistle', 'whistling', 'bob dylan', 'band']","['""would you stop humming the music to jaws for god\'s sake!', ""so, what did you guys think of the new kendrick lamar album? i mean obviously i loved it. i loved it. have you listened to yah.? i play it all the time. he's my favorite, and i really wanted to impress you on that, thats what i'm doing right now."", ""so, what did you guys think of the new kendrick lamar album? did you get a chance to listen to it? i mean, obviously i loved it. loved. it. i play it all the time. he's my favorite, and i really want to impress on you that that's the case.""]"
97,151,97_pussy_grab_the pussy_distract him,"['pussy', 'grab', 'the pussy', 'distract him', 'pussy he', 'distract', 'scratch', 'you distract', 'grabbing', 'and ll']","['just grab him by the pussy.', ""if you distract him, i'll grab his pussy."", ""you distract him and i'll grab his pussy.""]"
98,150,98_parrot_his parrot_the parrot_ate,"['parrot', 'his parrot', 'the parrot', 'ate', 'ate his', 'parrot he', 'cat ate', 'cat', 'parrots', 'the cat']","[""'i think that cat ate his parrot.'"", 'the cat ate his parrot.', 'the cat ate his parrot.']"
99,149,99_thrones_of thrones_game of_game,"['thrones', 'of thrones', 'game of', 'game', 'binge', 'watching', 'binge watching', 'watch game', 'watch', 'he binge']","[""you shouldn't have let him watch 'game of thrones.'"", 'he has been watching game of thrones.', 'i told you not to let him watch game of thrones.']"
100,149,100_hammock_hamster_ham_king,"['hammock', 'hamster', 'ham', 'king', 'the hammock', 'the king', 'hamsters', 'hammocks', 'ham hock', 'hock']","['the king is dead. long live the hammock.', ""if he's the king of the road, i'm the prince of the hammock."", 'the king said gourd hammock not guard hammock!']"
101,149,101_driven_self_car_don feel,"['driven', 'self', 'car', 'don feel', 'smart', 'feel', 'smart car', 'driving', 'drive', 'self driving']","[""i just don't feel like a smart car!"", ""i just don't feel driven."", ""so, you don't feel driven?""]"
102,148,102_sea_sea world_ocean_the ocean,"['sea', 'sea world', 'ocean', 'the ocean', 'world', 'seaworld', 'the sea', 'aground', 'ship', 'at sea']","[""we couldn't leave him at sea world"", 'i think he escaped from sea world.', ""what's the big deal. we're going to sea world, he's going to sea world.""]"
103,148,103_snake_johnson_snake in_snakes,"['snake', 'johnson', 'snake in', 'snakes', 'forked', 'tongue', 'forked tongue', 'daniel', 'the snake', 'grass']","['i told you he was a snake in the grass. now do you believe me?', 'always knew he was a snake in the grass', ""i thought you said he was a snake 'in the grass'??""]"
104,148,104_inner child_mindfulness_childhood_inner,"['inner child', 'mindfulness', 'childhood', 'inner', 'his inner', 'child', 'youth', 'his', 'school', 'for his']","['he keeps muttering something about his inner child.', 'he is looking for his inner child', ""i think he's looking for his inner child.""]"
