Topic,Count,Name,Representation,Representative_Docs
-1,1070,-1_the_you_she_to,"['the', 'you', 'she', 'to', 'her', 'it', 'of', 'that', 'my', 'in']","['...and then she told me she was colorblind, and i just felt like, well, this is going no where.', ""it's not so much what she said as how she said it."", 'so one of the guys said to me, ""trog, your wife is a very modern woman,"" and i said, ""you have no idea how true that is.""']"
0,368,0_she_her_and_you,"['she', 'her', 'and', 'you', 'me', 'to', 'the', 'then', 'on', 'was']","['and then she said, “i’d like to mount you…”', 'and then she said, ""would you like me to make you an omelette?""', 'and then she said, ""you\'ll never see it coming . . .""']"
1,322,1_mother_mom_your mother_your,"['mother', 'mom', 'your mother', 'your', 'to', 'my', 'my mother', 'you', 'in', 'for']","[""leaving your mother-in-law's?"", ""they're for your mother."", 'mom?']"
2,143,2_wife_my wife_my_your wife,"['wife', 'my wife', 'my', 'your wife', 'the', 'your', 'got', 'ex wife', 'you', 'ex']","['my wife got the lamp in the divorce.', 'my ex-wife got the house.', 'my wife got the house.']"
3,131,3_karen_you_to_susan,"['karen', 'you', 'to', 'susan', 'the', 'it', 'not', 'janet', 'brenda', 'home']","['you were right, nancy. it is nice to be back at work out in the real world again.', ""that's easy for you to say karen...the whole world doesn't revolve around you!"", ""after months stuck at home with the kids, karen couldn't wait to get back to work.""]"
4,113,4_queen_the queen_the_princess,"['queen', 'the queen', 'the', 'princess', 'you', 'dragon', 'to', 'the princess', 'knight', 'the dragon']","[""you're not the queen here."", 'a gift from the queen, your majesty.', 'a gift from the queen.']"
5,107,5_women_woman_the_you,"['women', 'woman', 'the', 'you', 'lady', 'for', 'first', 'in', 'you re', 'the first']","[""ok, so you're not the first girl i've brought up here."", 'i""m proud to be known as the first woman on your research team. but humility compels me to decline being honored also as the first woman to try your experimental formula.', ""you're not the first woman to come here looking for something more appropriate for the workplace.""]"
6,106,6_divorce_papers_she_the,"['divorce', 'papers', 'she', 'the', 'the divorce', 'divorce papers', 'lawyer', 'served', 'the papers', 'herself']","['it wasn’t her lawyer. she delivered the divorce papers herself.', 'well, she delivered the divorce papers.', ""she's delivered the divorce papers.""]"
7,84,7_summer_the summer_the_we,"['summer', 'the summer', 'the', 'we', 'autumn', 'in', 'summer we', 'last summer', 'and', 'camp']","['are you just here for the summer?', 'i guess in the summer we\'ll just have to go a cappella.""', 'in the summer we just use the piano.']"
8,67,8_trophy_trophy wife_wife_your trophy,"['trophy', 'trophy wife', 'wife', 'your trophy', 'wanted trophy', 'being', 'wanted', 'you', 'you wanted', 'wife you']","[""i'm the trophy wife"", 'but you said you wanted a trophy wife', 'well you wanted a trophy wife.']"
9,52,9_wearing_wear_her_mother,"['wearing', 'wear', 'her', 'mother', 'she', 'you', 'belt', 'color', 'chastity belt', 'chastity']","[""here's a whimsical look for summer featuring rolled cuff toreador pants with casual open-collared raw cotton shirt. the quixotic faux blindfold completes the ensemble. hair styling, pierre of beverly hills."", ""that's nothing: you should see her chastity belt."", 'you should see her chastity belt.']"
10,48,10_stone_the stone_age_sword,"['stone', 'the stone', 'age', 'sword', 'stone age', 'the', 'all', 'it', 'rolling', 'rolling stone']","['let me guess: you’re gonna hit it back to the stone age.', 'the good news is, they got the sword out of the stone.', 'real housewives of the stone age']"
11,30,11_daughter_my daughter_to me_my,"['daughter', 'my daughter', 'to me', 'my', 'to', 'julia', 'me', 'granddaughter', 'my granddaughter', 'julia child']","[""and that's why my daughter hasn't spoken to me in thirty years"", ""my daughter hasn't spoken to me since."", ""my daughter hasn't spoken to me since.""]"
12,29,12_she_dog_up after_how,"['she', 'dog', 'up after', 'how', 'have', 'her', 'after', 'can', 'after her', 'and']","['how is that woman going to clean up after her dog?', 'at least she doesn\'t have to pick up after her dog!""', 'she’s going to have a heck of a time cleaning up after her dog.']"
