Occupation,Job Zone,Code,Synonyms
volunteer,,,"['Volunteer', 'military volunteer', 'volunteer', 'Tennessean', 'unpaid worker', 'voluntary']"
buyer,,,"['emptor', 'vendee', 'buyer', 'purchaser']"
cashier,,,"['teller', 'cashier', 'bank clerk']"
nutritionist,,,"['dietitian', 'nutritionist', 'dietician']"
manicurists,,,['manicurist']
moulder,,,[]
servers,,,"['server', 'waiter', 'host']"
carpenter,,,['carpenter']
barbers,,,"['barber', 'Samuel Barber', 'Barber']"
carpenters,,,['carpenter']
representatives,,,"['illustration', 'interpreter', 'representative', 'voice', 'congressman', 'example', 'instance', 'spokesperson', 'congresswoman']"
installer,,,[]
railroad workers,,,[]
machinist,,,"['mechanic', 'machinist', 'shop mechanic']"
anesthesiologists,,,"['anesthesiologist', 'anesthetist', 'anaesthetist']"
anesthetists,,,"['anesthesiologist', 'anesthetist', 'anaesthetist']"
housekeeping staff,,,[]
aesthetician,,,"['esthetician', 'aesthetician']"
systems,,,"['arrangement', 'system of rules', 'organisation', 'scheme', 'system', 'organization']"
adjusters,,,"['claims adjustor', 'adjustor', 'claims adjuster', 'claim agent', 'adjuster']"
engineering,,,"['engine room', 'engineering', 'technology', 'engineering science', 'applied science']"
blending,,,"['shading', 'blend', 'blending']"
helpers--roofers,,,[]
hairdresser,,,"['styler', 'hairdresser', 'stylist', 'hairstylist']"
chemical engineer,,,[]
baristas,,,[]
emergency medical technician,,,[]
biologists,,,"['life scientist', 'biologist']"
researcher,,,"['investigator', 'research worker', 'researcher']"
editor,,,"['editor', 'editor program', 'editor in chief']"
purchasing,,,"['buying', 'purchasing']"
safety,,,"['base hit', 'refuge', 'condom', 'safe', 'rubber', 'prophylactic', 'safety', 'guard', 'safety device']"
breeder,,,"['stock breeder', 'breeder']"
proofreaders,,,"['reader', 'proofreader']"
biostatisticians,,,[]
helpers--pipelayers,,,[]
assayer,,,['assayer']
passenger,,,"['rider', 'passenger']"
procurement officers,,,[]
therapist,,,"['healer', 'therapist']"
practitioners,,,"['practitioner', 'practician']"
software,,,"['computer software', 'software system', 'package', 'software package', 'software', 'software program']"
cutter,,,"['cutlery', 'carver', ""ship's boat"", 'pinnace', 'stonecutter', 'cutting tool', 'cutter', 'tender']"
buyers,,,"['emptor', 'vendee', 'buyer', 'purchaser']"
analyst,,,"['analyst', 'psychoanalyst']"
painters,,,"['mountain lion', 'cougar', 'puma', 'Felis concolor', 'painter', 'panther', 'catamount']"
actors,,,"['thespian', 'doer', 'worker', 'actor', 'role player', 'player', 'histrion']"
sculptors,,,"['sculpturer', 'carver', 'statue maker', 'sculptor', 'Sculptor']"
surgeons,,,"['operating surgeon', 'surgeon', 'sawbones']"
tax preparers,,,[]
tapers,,,"['taper', 'candle', 'wax light', 'wick']"
concierges,,,['concierge']
miller,,,"['Miller', 'Henry Valentine Miller', 'milling machine', 'Alton Glenn Miller', 'Henry Miller', 'miller', 'Arthur Miller', 'moth miller', 'Glenn Miller']"
radiologists,,,"['radiotherapist', 'radiologist']"
farmworkers,,,[]
animator,,,"['energizer', 'vitalizer', 'energiser', 'vitaliser', 'animator']"
technician,,,['technician']
taxi,,,"['cab', 'hack', 'taxi', 'taxicab']"
polisher,,,"['buffer', 'polisher']"
veterinary,,,"['veterinary surgeon', 'veterinarian', 'vet', 'veterinary']"
collectors,,,"['aggregator', 'collector', 'gatherer', 'accumulator']"
chemists,,,"['chemist', 'pharmacist', 'apothecary', 'pill pusher', 'druggist', 'pill roller']"
cabinetmakers,,,"['cabinetmaker', 'furniture maker']"
plant,,,"['flora', 'plant life', 'plant', 'industrial plant', 'works']"
musicians,,,"['musician', 'instrumentalist', 'player']"
painter,,,"['mountain lion', 'cougar', 'puma', 'Felis concolor', 'painter', 'panther', 'catamount']"
trainers,,,"['trainer', 'flight simulator']"
sitter,,,"['Sitter', 'Willem de Sitter', 'baby-sitter', 'babysitter', 'broody hen', 'setting hen', 'sitter', 'broody', 'brood hen', ""artist's model""]"
plumbers,,,"['pipe fitter', 'plumber']"
editors,,,"['editor', 'editor program', 'editor in chief']"
telecommunicators,,,[]
papermaker,,,[]
architects,,,"['architect', 'designer']"
agent,,,"['agentive role', 'factor', 'agent', 'broker', 'federal agent']"
geologist,,,['geologist']
composer,,,['composer']
freight,,,"['lading', 'shipment', 'payload', 'freightage', 'load', 'freight rate', 'loading', 'cargo', 'freight', 'consignment']"
cashiers,,,"['teller', 'cashier', 'bank clerk']"
physiotherapist,,,"['physical therapist', 'physiotherapist']"
maids,,,"['maidservant', 'housemaid', 'maid', 'amah', 'maiden']"
nursing assistants,,,[]
claims,,,"['call', 'title', 'claim']"
translators,,,"['translating program', 'interpreter', 'translator', 'transcriber']"
animation,,,"['liveliness', 'invigoration', 'vivification', 'brio', 'living', 'vitality', 'life', 'animation', 'spiritedness', 'aliveness']"
markers,,,"['mark', 'marker', 'marking']"
helpers--carpenters,,,[]
fire chief,,,[]
actuary,,,"['actuary', 'statistician']"
fashion designers,,,[]
sailors,,,"['Panama', 'sailor boy', 'bluejacket', 'sailor', 'straw hat', 'navy man', 'skimmer', 'boater', 'leghorn', 'crewman', 'Panama hat']"
foresters,,,"['Cecil Scott Forester', 'C. S. Forester', 'tree farmer', 'Forester', 'arboriculturist', 'forester']"
applicators,,,"['applier', 'applicator']"
mixer,,,"['mixer', 'social', 'sociable']"
repairer,,,"['repairer', 'mender', 'fixer']"
ambassador,,,"['ambassador', 'embassador']"
announcers,,,['announcer']
developers,,,['developer']
director,,,"['managing director', 'manager', 'conductor', 'theater director', 'director', 'music director', 'theatre director', 'film director']"
educators,,,"['pedagog', 'pedagogue', 'educator']"
patternmakers,,,['patternmaker']
microbiologists,,,['microbiologist']
cartographers,,,"['map maker', 'cartographer']"
foundry,,,"['foundry', 'metalworks']"
drafters,,,['drafter']
dermatologists,,,"['skin doctor', 'dermatologist']"
orderlies,,,"['hospital attendant', 'orderly']"
manager,,,"['managing director', 'manager', 'coach', 'director', 'handler']"
poultry,,,"['poultry', 'domestic fowl', 'fowl']"
technologist,,,"['engineer', 'technologist', 'applied scientist']"
mechanics,,,"['car-mechanic', 'shop mechanic', 'auto-mechanic', 'mechanism', 'mechanics', 'mechanic', 'grease monkey', 'automobile mechanic', 'machinist']"
military,,,"['armed forces', 'military machine', 'armed services', 'military', 'war machine']"
environmental scientist,,,[]
instructors,,,"['teacher', 'instructor']"
farmers,,,"['husbandman', 'sodbuster', 'Farmer', 'Fannie Merritt Farmer', 'farmer', 'granger', 'James Leonard Farmer', 'Fannie Farmer']"
biochemists,,,['biochemist']
metal,,,"['metal', 'alloy', 'metallic element']"
planer,,,"['planing machine', 'plane', 'planer']"
fitter,,,['fitter']
philosopher,,,['philosopher']
offbearers,,,[]
bakers,,,"['bread maker', 'baker']"
tellers,,,"['Teller', 'teller', 'storyteller', 'narrator', 'cashier', 'vote counter', 'bank clerk', 'Edward Teller']"
securities officers,,,[]
superintendents,,,"['overseer', 'superintendent', 'super']"
trimmers,,,"['trimming capacitor', 'trimmer', 'pruner', 'trimmer joist']"
cooking,,,"['preparation', 'cookery', 'cooking']"
maintainer,,,"['upholder', 'maintainer', 'sustainer']"
gas,,,"['gas', 'gasoline', 'accelerator', 'gasolene', 'flatulence', 'accelerator pedal', 'gaseous state', 'gas pedal', 'gun', 'throttle', 'flatulency', 'petrol', 'natural gas']"
registrar,,,"['registrar', 'recorder', 'record-keeper']"
producer,,,"['manufacturer', 'producer']"
archivists,,,['archivist']
astronomer,,,"['astronomer', 'uranologist', 'stargazer']"
masons,,,"['Mason', 'George Mason', 'mason', 'James Mason', 'Freemason', 'James Neville Mason', 'stonemason', 'A. E. W. Mason', 'Alfred Edward Woodley Mason']"
aromatherapist,,,[]
firers,,,[]
auditors,,,"['listener', 'attender', 'hearer', 'auditor']"
physician,,,"['Dr.', 'physician', 'doc', 'doctor', 'MD', 'medico']"
