Occupation,Job Zone,Code,Synonyms
rescue,,,"['delivery', 'saving', 'deliverance', 'rescue']"
engineers,,,"['locomotive engineer', 'technologist', 'engine driver', 'engineer', 'applied scientist', 'railroad engineer']"
immunologists,,,['immunologist']
hosts,,,"['Host', 'server', 'horde', 'innkeeper', 'legion', 'master of ceremonies', 'boniface', 'host', 'emcee']"
miner,,,"['mineworker', 'miner']"
acupuncturist,,,[]
linguist,,,"['polyglot', 'linguist', 'linguistic scientist']"
reception,,,"['receipt', 'response', 'reception']"
locksmiths,,,['locksmith']
producers,,,"['manufacturer', 'producer']"
technicians,,,['technician']
prosthetists,,,['prosthetist']
cleaner,,,"['cleaner', 'dry cleaner', 'cleanser', 'cleansing agent']"
receptionists,,,['receptionist']
tenders,,,"[""ship's boat"", 'attendant', 'pinnace', 'supply ship', 'stamp', 'legal tender', 'attender', 'bid', 'cutter', 'tender']"
funeral directors,,,[]
contractors,,,"['contractile organ', 'declarer', 'contractor']"
supervisors,,,"['executive program', 'supervisory program', 'supervisor']"
leader,,,"['leader', 'loss leader', 'drawing card']"
excavating operators,,,[]
designer,,,"['room decorator', 'decorator', 'couturier', 'interior decorator', 'graphic designer', 'fashion designer', 'designer', 'intriguer', 'architect', 'clothes designer', 'house decorator', 'interior designer']"
economists,,,"['economist', 'economic expert']"
preparers,,,[]
mining,,,"['minelaying', 'mining', 'excavation']"
allergists,,,['allergist']
commissioner,,,['commissioner']
detective,,,"['police detective', 'investigator', 'detective', 'tec']"
drivers,,,"['driver', 'number one wood', 'device driver']"
retail,,,['retail']
museum conservators,,,[]
couriers,,,"['messenger', 'courier']"
movers,,,"['removal firm', 'public mover', 'mover', 'proposer', 'removal company', 'moving company']"
civil engineer,,,[]
scientist,,,['scientist']
assessors,,,"['assessor', 'tax assessor']"
programmers,,,"['software engineer', 'computer programmer', 'programmer', 'coder']"
cardiologists,,,"['heart surgeon', 'cardiologist', 'heart specialist']"
etchers,,,['etcher']
orthodontists,,,['orthodontist']
executives,,,"['executive', 'executive director', 'administrator']"
marshaller,,,[]
paperhanger,,,"['paperhanger', 'paperer']"
configurator,,,[]
musical tuners,,,[]
choreographer,,,['choreographer']
hydrotherapist,,,[]
potters,,,"['thrower', 'ceramicist', 'ceramist', 'potter']"
lawyer,,,"['lawyer', 'attorney']"
chef,,,['chef']
reporters,,,"['newsperson', 'reporter', 'newsman']"
coaches,,,"['motorcoach', 'jitney', 'manager', 'passenger car', 'omnibus', 'four-in-hand', 'motorbus', 'coach', 'private instructor', 'bus', 'double-decker', 'carriage', 'coach-and-four', 'tutor', 'handler', 'autobus', 'charabanc', 'passenger vehicle']"
museum,,,['museum']
legal,,,[]
feeders,,,"['affluent', 'self-feeder', 'tributary', 'eater', 'feeder', 'bird feeder', 'confluent', 'birdfeeder']"
competitors,,,"['rival', 'contender', 'challenger', 'competition', 'competitor']"
ship captain,,,[]
groomer,,,[]
orthoptists,,,['orthoptist']
traffic,,,"['traffic', 'dealings']"
judges,,,"['jurist', 'justice', 'Book of Judges', 'evaluator', 'Judges', 'judge']"
jockeys,,,['jockey']
grader,,,['grader']
senator,,,['senator']
educator,,,"['pedagog', 'pedagogue', 'educator']"
picker,,,"['chooser', 'selector', 'picker']"
umpires,,,"['umpire', 'ump', 'arbiter', 'arbitrator']"
trainer,,,"['trainer', 'flight simulator']"
anthropologists,,,['anthropologist']
officers,,,"['officeholder', 'police officer', ""ship's officer"", 'officer', 'military officer', 'policeman']"
artists,,,"['creative person', 'artist']"
stonemasons,,,"['stonemason', 'mason']"
managers,,,"['managing director', 'manager', 'coach', 'director', 'handler']"
neurologists,,,"['neurologist', 'brain doctor']"
cost estimators,,,[]
yardmasters,,,"['trainmaster', 'yardmaster', 'train dispatcher']"
dealers,,,"['monger', 'trader', 'principal', 'dealer', 'bargainer']"
geographers,,,['geographer']
psychiatrists,,,"['head-shrinker', 'shrink', 'psychiatrist']"
crematory operators,,,[]
justice,,,"['Department of Justice', 'jurist', 'justice', 'justness', 'Justice', 'DoJ', 'Justice Department', 'judge']"
manufacturing,,,"['manufacturing', 'manufacture', 'fabrication']"
nuclear engineer,,,[]
tester,,,"['quizzer', 'tester', 'examiner']"
fishing,,,"['sportfishing', 'fishing']"
paleontologist,,,"['paleontologist', 'palaeontologist', 'fossilist']"
dietitians,,,"['dietitian', 'nutritionist', 'dietician']"
planner,,,"['contriver', 'deviser', 'planner']"
vessels,,,"['vas', 'vessel', 'watercraft']"
hairstylists,,,"['styler', 'hairdresser', 'stylist', 'hairstylist']"
captains,,,"['headwaiter', ""maitre d'"", 'sea captain', 'police captain', 'captain', 'chieftain', 'police chief', 'master', 'skipper', ""maitre d'hotel"", 'senior pilot']"
protection,,,"['protection', 'security', 'tribute', 'trade protection', 'protective covering', 'protective cover', 'shelter', 'auspices', 'aegis']"
hostesses,,,"['hostess', 'stewardess', 'air hostess']"
clinical,,,[]
caster,,,"['caster', 'castor']"
food,,,"['food for thought', 'nutrient', 'food', 'intellectual nourishment', 'solid food']"
fitness,,,"['physical fitness', 'seaworthiness', 'fittingness', 'fitness']"
handlers,,,"['animal trainer', 'coach', 'manager', 'handler']"
cargo,,,"['lading', 'shipment', 'payload', 'load', 'loading', 'cargo', 'freight', 'consignment']"
phlebotomists,,,['phlebotomist']
agronomist,,,['agronomist']
administrators,,,"['executive', 'decision maker', 'administrator']"
testers,,,"['quizzer', 'tester', 'examiner']"
jailers,,,"['jailer', 'screw', 'prison guard', 'turnkey', 'gaoler', 'jailor']"
developer,,,['developer']
midwives,,,"['accoucheuse', 'midwife']"
assemblers,,,"['assembly program', 'assembler']"
takers,,,['taker']
sewers,,,"['sewer', 'sewerage', 'cloaca', 'toilet', 'gutter']"
probation officers,,,[]
assessor,,,"['assessor', 'tax assessor']"
ranchers,,,['rancher']
software developers,,,[]
anthropologist,,,['anthropologist']
pilots,,,"['pilot', 'pilot program', 'archetype', 'buffer', 'pilot light', 'fender', 'pilot film', 'airplane pilot', 'original', 'pilot burner', 'cowcatcher']"
pourers,,,[]
appraiser,,,"['valuator', 'authenticator', 'appraiser']"
photographer,,,"['photographer', 'lensman']"
archaeologist,,,"['archeologist', 'archaeologist']"
logisticians,,,"['logistician', 'logician']"
divers,,,"['plunger', 'diver', 'underwater diver', 'frogman', 'loon']"
investigators,,,"['detective', 'researcher', 'investigator', 'tec', 'police detective', 'research worker']"
executive,,,"['executive', 'executive director', 'administrator']"
pipelayers,,,[]
pathologists,,,"['pathologist', 'diagnostician']"
housekeeping,,,"['housework', 'housekeeping']"
climatologist,,,['climatologist']
counsellor,,,"['counsel', 'counselor', 'counsellor', 'advocate', 'counselor-at-law', 'pleader']"
oil,,,"['fossil oil', 'oil color', 'rock oil', 'vegetable oil', 'petroleum', 'crude oil', 'oil colour', 'oil', 'crude']"
building,,,"['edifice', 'building', 'construction']"
installers,,,[]
veterinarian,,,"['veterinary surgeon', 'veterinarian', 'vet', 'veterinary']"
pedicurists,,,[]
weighers,,,['weigher']
treasurer,,,"['financial officer', 'treasurer']"
fishers,,,"['black cat', 'fisher', 'fisherman', 'fisher cat', 'Martes pennanti', 'pekan']"
merchants,,,"['merchandiser', 'merchant']"
law enforcement officer,,,[]
petroleum,,,"['fossil oil', 'rock oil', 'petroleum', 'crude oil', 'oil', 'crude']"
coordinators,,,['coordinator']
promoters,,,"['booster', 'impresario', 'promoter', 'plugger', 'showman']"
orthopaedic,,,[]
sciences,,,"['scientific discipline', 'science', 'skill']"
samplers,,,"['taste-tester', 'sampling station', 'sampler', 'taste tester', 'taster']"
fuel cell technicians,,,[]
superintendent,,,"['overseer', 'superintendent', 'super']"
cage handlers,,,[]
examiners,,,"['quizzer', 'tester', 'examiner', 'inspector']"
cosmetologists,,,['cosmetologist']
practitioner,,,"['practitioner', 'practician']"
slaughterer,,,"['slaughterer', 'butcher']"
breeders,,,"['stock breeder', 'breeder']"
ai researcher,,,[]
laborers,,,"['laborer', 'manual laborer', 'jack', 'labourer']"
structural,,,[]
optometrists,,,"['oculist', 'optometrist']"
merchandiser,,,"['merchandiser', 'merchant']"
helpers--extraction,,,[]
planners,,,"['contriver', 'deviser', 'planner']"
surgeon,,,"['operating surgeon', 'surgeon', 'sawbones']"
adviser,,,"['adviser', 'advisor', 'consultant']"
erectors,,,[]
scouts,,,"['picket', 'Scout', 'talent scout', 'lookout man', 'watch', 'scout', 'lookout', 'spotter', 'pathfinder', 'sentry', 'guide', 'sentinel']"
podiatrists,,,"['chiropodist', 'foot doctor', 'podiatrist']"
education,,,"['teaching', 'education', 'Department of Education', 'breeding', 'educational activity', 'instruction', 'training', 'didactics', 'Education', 'Education Department', 'pedagogy']"
quantitative analyst,,,[]
animal,,,"['animate being', 'fauna', 'creature', 'animal', 'beast', 'brute']"
driver/sales,,,[]
aerospace engineer,,,[]
mediators,,,"['intercessor', 'go-between', 'mediator', 'intermediary', 'intermediator']"
chiropractors,,,['chiropractor']
paralegal,,,"['legal assistant', 'paralegal']"
community,,,"['residential district', 'biotic community', 'community of interests', 'residential area', 'community']"
health,,,"['wellness', 'health']"
photographers,,,"['photographer', 'lensman']"
receptionist,,,['receptionist']
stylist,,,"['styler', 'hairdresser', 'stylist', 'hairstylist']"
upholsterer,,,['upholsterer']
artisan,,,"['craftsman', 'journeyman', 'artisan', 'artificer']"
servicers,,,[]
congressperson,,,[]
lifeguards,,,"['lifesaver', 'lifeguard']"
modeller,,,"['modeler', 'modeller']"
reproducer,,,['reproducer']
media,,,"['spiritualist', 'sensitive', 'medium', 'culture medium', 'metier', 'mass medium']"
casters,,,"['caster', 'castor']"
actuaries,,,"['actuary', 'statistician']"
messengers,,,"['messenger', 'courier']"
adjudicators,,,['adjudicator']
care,,,"['care', 'maintenance', 'upkeep', 'precaution', 'guardianship', 'caution', 'fear', 'tending', 'charge', 'tutelage', 'aid', 'attention', 'concern', 'forethought']"
biologist,,,"['life scientist', 'biologist']"
metallurgist,,,"['metallurgical engineer', 'metallurgist']"
pumpers,,,[]
surveillance,,,['surveillance']
robotics engineers,,,[]
sheriffs,,,['sheriff']
coremakers,,,[]
cytotechnologists,,,[]
clerks,,,"['salesclerk', 'shop clerk', 'shop assistant', 'clerk']"
merchandise displayers,,,[]
handler,,,"['animal trainer', 'coach', 'manager', 'handler']"
photogrammetrists,,,[]
locomotive,,,"['engine', 'locomotive', 'railway locomotive', 'locomotive engine']"
orthopedic surgeons,,,[]
projectionists,,,['projectionist']
welding,,,['welding']
maintenance,,,"['care', 'maintenance', 'upkeep', 'sustentation', 'sustainment', 'alimony', 'sustenance', 'criminal maintenance']"
interpreter,,,"['interpreter', 'representative', 'voice', 'interpretive program', 'spokesperson', 'translator']"
plasterers,,,['plasterer']
video,,,"['picture', 'television', 'video', 'video recording', 'TV', 'telecasting']"
embalmers,,,['embalmer']
setter,,,"['setter', 'typographer', 'typesetter', 'compositor']"
opticians,,,"['optician', 'lens maker']"
inventory,,,"['stock-taking', 'inventorying', 'stock list', 'stock', 'inventory', 'armoury', 'stocktaking', 'armory']"
publishers,,,"['publishing company', 'publisher', 'publishing house', 'newspaper publisher', 'publishing firm']"
magistrate,,,['magistrate']
pediatric nurses,,,[]
welder,,,['welder']
helpers--electricians,,,[]
casting workers,,,[]
captioners,,,[]
postmasters,,,['postmaster']
specialist,,,"['specialist', 'specialiser', 'medical specialist', 'specializer']"
cardiologist,,,"['heart surgeon', 'cardiologist', 'heart specialist']"
sewing machine operators,,,[]
pediatrician,,,"['pediatrician', 'baby doctor', 'paediatrician', 'pediatrist']"
processing,,,['processing']
ergonomists,,,[]
cto,,,[]
coordinator,,,['coordinator']
cleaners,,,"['cleaners', 'cleaner', 'dry cleaners', 'dry cleaner', 'cleanser', 'cleansing agent']"
midwife,,,"['accoucheuse', 'midwife']"
guards,,,"['safeguard', 'precaution', 'sentry duty', 'sentry go', 'safety', 'guard duty', 'guard', 'safety device']"
packers,,,"['boxer', 'backpacker', 'packer', 'meat packer', 'bagger']"
sailor,,,"['Panama', 'sailor boy', 'bluejacket', 'sailor', 'straw hat', 'navy man', 'skimmer', 'boater', 'leghorn', 'crewman', 'Panama hat']"
ophthalmic technicians,,,[]
law,,,"['jurisprudence', 'natural law', 'police', 'constabulary', 'practice of law', 'law', 'legal philosophy', 'police force', 'law of nature']"
trader,,,"['dealer', 'monger', 'trader', 'bargainer']"
composers,,,['composer']
programmer,,,"['software engineer', 'computer programmer', 'programmer', 'coder']"
stevedore,,,"['stevedore', 'longshoreman', 'dockhand', 'loader', 'dock worker', 'lumper', 'dock-walloper', 'docker', 'dockworker']"
janitors,,,['janitor']
agricultural,,,[]
roaster,,,['roaster']
speech-language pathologists,,,[]
choreographers,,,['choreographer']
social,,,"['mixer', 'social', 'sociable']"
gambling,,,"['gaming', 'play', 'gambling']"
mathematicians,,,['mathematician']
rigger,,,"['oil rigger', 'rigger brush', 'rigger']"
protective,,,[]
journalist,,,"['diarist', 'journalist', 'diary keeper']"
coroners,,,"['coroner', 'medical examiner']"
police,,,"['police', 'law', 'constabulary', 'police force']"
finisher,,,"['finisher', 'closer']"
underwriters,,,"['insurance underwriter', 'general agent', 'underwriter', 'insurer', 'insurance company', 'insurance broker', 'insurance agent', 'insurance firm', 'investment banker']"
scaffolder,,,[]
music,,,"['euphony', 'music', 'medicine']"
sewer workers,,,[]
payroll,,,"['paysheet', 'payroll department', 'payroll']"
performer,,,"['performer', 'performing artist']"
therapists,,,"['healer', 'therapist']"
prosthodontists,,,['prosthodontist']
athletes,,,"['athlete', 'jock']"
network,,,"['mesh', 'electronic network', 'web', 'net', 'meshing', 'meshwork', 'network']"
entrepreneur,,,"['entrepreneur', 'enterpriser']"
registrars,,,"['registrar', 'recorder', 'record-keeper']"
repair,,,"['haunt', 'repair', 'mend', 'mending', 'fix', 'stamping ground', 'reparation', 'resort', 'fixture', 'fixing', 'hangout']"
lawyers,,,"['lawyer', 'attorney']"
assistant,,,"['assistant', 'helper', 'help', 'supporter']"
printing,,,"['printing', 'printing process', 'impression']"
architect,,,"['architect', 'designer']"
data scientist,,,[]
elevator installers,,,[]
motorcycle mechanics,,,[]
publisher,,,"['publishing company', 'publisher', 'publishing house', 'newspaper publisher', 'publishing firm']"
customer service representatives,,,[]
legislators,,,['legislator']
hygienists,,,['hygienist']
dressmakers,,,"['sempstress', 'seamstress', 'modiste', 'dressmaker', 'needlewoman']"
writers,,,"['writer', 'author']"
analysts,,,"['analyst', 'psychoanalyst']"
foundry workers,,,[]
oilers,,,"['oiler', 'oil tanker', 'oil well', 'tank ship', 'tanker']"
actor,,,"['thespian', 'doer', 'worker', 'actor', 'role player', 'player', 'histrion']"
auditor,,,"['listener', 'attender', 'hearer', 'auditor']"
stewardess,,,"['hostess', 'stewardess', 'air hostess']"
detectives,,,"['police detective', 'investigator', 'detective', 'tec']"
paperhangers,,,"['paperhanger', 'paperer']"
pharmacist,,,"['chemist', 'pharmacist', 'pill pusher', 'apothecary', 'druggist', 'pill roller']"
helpers,,,"['help', 'supporter', 'benefactor', 'assistant', 'helper']"
bioengineers,,,[]
hygienist,,,['hygienist']
advisor,,,"['adviser', 'advisor', 'consultant']"
pediatricians,,,"['pediatrician', 'baby doctor', 'paediatrician', 'pediatrist']"
urban planner,,,[]
journalists,,,"['diarist', 'journalist', 'diary keeper']"
aides,,,"['auxiliary', 'Pluto', 'aide-de-camp', 'adjutant', 'Aidoneus', 'Aides', 'Hades', 'aide']"
surveyors,,,['surveyor']
monitors,,,"['admonisher', 'monitor lizard', 'monitoring device', 'varan', 'monitor', 'proctor', 'reminder', 'Monitor']"
investigator,,,"['detective', 'researcher', 'investigator', 'tec', 'police detective', 'research worker']"
nursing,,,"['breast feeding', 'nursing']"
surveyor,,,['surveyor']
weaver,,,"['weaver', 'weaver finch', 'weaverbird']"
terrazzo,,,[]
dishwashers,,,"['dishwasher', 'dishwashing machine', 'dish washer']"
pharmacists,,,"['chemist', 'pharmacist', 'pill pusher', 'apothecary', 'druggist', 'pill roller']"
assembler,,,"['assembly program', 'assembler']"
underwriter,,,"['insurance underwriter', 'general agent', 'underwriter', 'insurer', 'insurance company', 'insurance broker', 'insurance agent', 'insurance firm', 'investment banker']"
landscapers,,,"['landscapist', 'landscaper', 'landscape architect', 'landscape gardener']"
boilermakers,,,[]
moldmakers,,,[]
drillers,,,[]
demonstrators,,,"['demonstrator', 'sales demonstrator', 'protester']"
helpers--production,,,[]
mechanic,,,"['car-mechanic', 'shop mechanic', 'auto-mechanic', 'mechanic', 'grease monkey', 'automobile mechanic', 'machinist']"
histotechnologists,,,[]
mechanical engineer,,,[]
ophthalmologists,,,"['ophthalmologist', 'eye doctor', 'oculist']"
tractor-trailer drivers,,,[]
dancers,,,"['terpsichorean', 'dancer', 'professional dancer', 'social dancer']"
maker,,,"['Lord', 'Godhead', 'maker', 'Almighty', 'shaper', 'manufacturer', 'God Almighty', 'Creator', 'Maker', 'Divine', 'Jehovah', 'manufacturing business']"
librarian,,,"['bibliothec', 'librarian']"
scientists,,,['scientist']
dispatchers,,,"['dispatcher', 'starter']"
promotions,,,"['advancement', 'furtherance', 'promotion', 'packaging', 'promotional material', 'forwarding', 'publicity']"
crane operators,,,[]
teacher,,,"['teacher', 'instructor']"
dental hygienists,,,[]
performers,,,"['performer', 'performing artist']"
helpers--painters,,,[]
founder,,,"['beginner', 'founding father', 'laminitis', 'father', 'founder']"
transportation,,,"['transportation system', 'shipping', 'Department of Transportation', 'transport', 'transferral', 'expatriation', 'DoT', 'Transportation', 'transportation', 'fare', 'transit', 'exile', 'conveyance', 'transfer', 'deportation']"
radiologist,,,"['radiotherapist', 'radiologist']"
inspector,,,"['examiner', 'inspector']"
construction,,,"['grammatical construction', 'mental synthesis', 'twist', 'structure', 'expression', 'construction', 'building']"
conveyor,,,"['transporter', 'conveyer belt', 'conveyer', 'conveyor belt', 'conveyor']"
novelist,,,['novelist']
guard,,,"['safeguard', 'precaution', 'sentry duty', 'sentry go', 'safety', 'guard duty', 'guard', 'safety device']"
glaziers,,,"['glazer', 'glass-cutter', 'glass cutter', 'glazier', 'glassworker']"
elevator operators,,,[]
enlisted personnel,,,[]
actor/actress,,,[]
representative,,,"['illustration', 'interpreter', 'representative', 'voice', 'congressman', 'example', 'instance', 'spokesperson', 'congresswoman']"
sports,,,"['summercater', 'mutation', 'play', 'sport', 'sportsman', 'athletics', 'sportswoman', 'variation', 'fun', 'mutant']"
roofers,,,['roofer']
electrical engineer,,,[]
observer,,,"['beholder', 'perceiver', 'observer', 'commentator', 'percipient']"
teller,,,"['Teller', 'teller', 'storyteller', 'narrator', 'cashier', 'vote counter', 'bank clerk', 'Edward Teller']"
paramedics,,,"['paramedical', 'paramedic']"
registered nurses,,,[]
measurers,,,['measurer']
runners,,,"['Caranx crysos', 'smuggler', 'offset', 'ball carrier', 'runner', 'stolon', 'blue runner', 'contrabandist', 'base runner', 'moon-curser', 'moon curser']"
farmer,,,"['husbandman', 'sodbuster', 'Farmer', 'Fannie Merritt Farmer', 'farmer', 'granger', 'James Leonard Farmer', 'Fannie Farmer']"
solderers,,,['solderer']
woodworkers,,,"['woodsman', 'woodworker', 'woodman']"
orthotists,,,[]
acupuncturists,,,[]
cutters,,,"['cutlery', 'carver', ""ship's boat"", 'pinnace', 'stonecutter', 'cutting tool', 'cutter', 'tender']"
agents,,,"['agentive role', 'factor', 'agent', 'broker', 'federal agent']"
machine learning engineer,,,[]
tool,,,"['pecker', 'instrument', 'putz', 'creature', 'puppet', 'tool', 'cock', 'prick', 'dick', 'shaft', 'peter']"
marketer,,,"['vendor', 'vender', 'seller', 'trafficker', 'marketer']"
crane,,,"['crane', 'Hart Crane', 'Crane', 'Stephen Crane', 'Harold Hart Crane', 'Grus']"
fallers,,,"['faller', 'lumberman', 'lumberjack', 'feller', 'logger']"
